股票代码,名称,特征,状态,数据行数,信号数,原版_交易次数,BT版_交易次数,差异_交易次数,通过_交易次数,原版_胜率%,BT版_胜率%,差异_胜率%,通过_胜率%,原版_均持仓天,BT版_均持仓天,差异_均持仓天,通过_均持仓天,原版_总收益率%,BT版_总收益率%,差异_总收益率%,通过_总收益率%,原版_最大回撤%,BT版_最大回撤%,差异_最大回撤%,通过_最大回撤%,原版_年化收益%,BT版_年化收益%,差异_年化收益%,通过_年化收益%,原版_Sharpe,BT版_Sharpe,差异_Sharpe,通过_Sharpe,原版_盈亏比,BT版_盈亏比,差异_盈亏比,通过_盈亏比,整体通过,耗时(s)
000001,平安银行,银行蓝筹-短,ok,555,142,1,1,0.0,Y,0.0,0.0,0.0,Y,40.0,40.0,0.0,Y,-2.33,-1.63,0.7,Y,-5.99,-5.96,0.03,Y,-1.06,-0.74,0.32,Y,-0.19,-0.15,0.04,Y,0.0,0.0,0.0,Y,Y,0.8
000002,万科A,地产龙头-短,ok,555,180,3,3,0.0,Y,33.3,33.3,0.0,Y,8.7,40.0,31.3,N,3.9,-18.85,22.75,N,-15.39,-35.64,20.25,N,1.75,-9.05,10.8,N,0.21,-0.53,0.74,N,1.27,0.09,1.18,Y,N,0.1
000006,深振业A,深圳本地-短,ok,555,292,1,5,4.0,N,0.0,60.0,60.0,N,2.0,40.0,38.0,N,-11.0,76.89,87.89,N,-11.0,-18.12,7.12,N,-5.15,29.56,34.71,N,-0.95,0.77,1.72,N,0.0,3.18,3.18,Y,N,0.1
000009,中国宝安,材料多元-短,ok,555,217,2,1,1.0,N,0.0,0.0,0.0,Y,22.0,40.0,18.0,N,-12.31,-12.07,0.24,Y,-19.13,-12.26,6.87,N,-5.79,-5.67,0.12,Y,-0.57,-0.93,0.36,Y,0.0,0.0,0.0,Y,N,0.0
000011,深物业A,地产物业-短,ok,555,225,2,5,3.0,N,0.0,60.0,60.0,N,21.0,40.0,19.0,N,-10.02,4.82,14.84,N,-10.02,-17.84,7.82,N,-4.68,2.16,6.84,N,-0.86,0.09,0.95,N,0.0,1.27,1.27,Y,N,0.1
000016,深康佳A,电子消费-短,ok,555,269,3,2,1.0,N,33.3,50.0,16.7,N,21.7,40.0,18.3,N,-7.72,-10.37,2.65,Y,-20.91,-26.52,5.61,N,-3.58,-4.85,1.27,Y,-0.34,-0.47,0.13,Y,0.52,0.96,0.44,Y,N,0.0
002198,嘉应制药,医药-中,ok,555,276,2,3,1.0,N,0.0,66.7,66.7,N,8.5,40.0,31.5,N,-16.02,-4.68,11.34,N,-16.02,-23.46,7.44,N,-7.62,-2.15,5.47,N,-1.74,-0.09,1.65,N,0.0,0.88,0.88,Y,N,0.0
002212,天融信,网络安全-中,ok,555,277,2,1,1.0,N,0.0,0.0,0.0,Y,2.5,40.0,37.5,N,-15.41,-15.04,0.37,Y,-15.41,-30.26,14.85,N,-7.32,-7.13,0.19,Y,-1.21,-0.46,0.75,N,0.0,0.0,0.0,Y,N,0.0
300086,康芝药业,创业板药-中,ok,555,327,2,1,1.0,N,0.0,0.0,0.0,Y,7.5,40.0,32.5,N,-14.88,-17.97,3.09,N,-15.06,-32.48,17.42,N,-7.06,-8.6,1.54,Y,-0.66,-0.51,0.15,Y,0.0,0.0,0.0,Y,N,0.0
002452,长高电新,电力设备-中,ok,555,265,1,1,0.0,Y,0.0,0.0,0.0,Y,14.0,40.0,26.0,N,-12.4,-14.26,1.86,Y,-12.41,-39.18,26.77,N,-5.83,-6.74,0.91,Y,-1.01,-0.42,0.59,N,0.0,0.0,0.0,Y,N,0.0
300461,田中精机,精密制造-中长,ok,555,346,2,1,1.0,N,0.0,0.0,0.0,Y,6.0,40.0,34.0,N,-15.48,-26.87,11.39,N,-15.48,-54.01,38.53,N,-7.35,-13.24,5.89,N,-0.93,-0.57,0.36,Y,0.0,0.0,0.0,Y,N,0.0
301163,宏德股份,次新股-长,ok,553,334,2,1,1.0,N,0.0,0.0,0.0,Y,7.0,40.0,33.0,N,-16.03,-15.93,0.1,Y,-16.03,-52.38,36.35,N,-7.65,-7.6,0.05,Y,-1.51,-0.27,1.24,N,0.0,0.0,0.0,Y,N,0.0
603272,联翔股份,纺织印花-长,ok,553,347,1,1,0.0,Y,0.0,0.0,0.0,Y,14.0,40.0,26.0,N,-13.44,-28.64,15.2,N,-13.77,-48.46,34.69,N,-6.36,-14.26,7.9,N,-1.01,-0.79,0.22,Y,0.0,0.0,0.0,Y,N,0.0
600127,金健米业,农业食品-超长,ok,554,186,2,5,3.0,N,0.0,40.0,40.0,N,8.5,40.0,31.5,N,-14.95,3.74,18.69,N,-14.95,-18.32,3.37,N,-7.1,1.69,8.79,N,-1.56,0.08,1.64,N,0.0,0.92,0.92,Y,N,0.1
