股票代码,股票名称,日期,收盘价,融合分,放量突破,均线粘合,量价背离,抄底,主力建仓,主导策略
000001,平安银行,2024-01-29,8.41,27.2,4.7,5.2,0.0,5.4,2.7,放
000001,平安银行,2024-01-30,8.24,21.6,0.9,5.1,1.8,4.3,4.6,放
000001,平安银行,2024-02-06,8.39,25.5,3.9,4.9,2.0,5.1,2.9,放
000001,平安银行,2024-02-07,8.33,22.4,4.4,5.3,2.2,4.5,2.4,放
000001,平安银行,2024-02-08,8.39,22.3,3.6,6.0,1.5,4.5,2.4,放
000001,平安银行,2024-02-19,8.51,24.6,2.1,5.9,4.7,4.9,3.5,放
000001,平安银行,2024-02-20,8.52,23.0,2.6,4.4,0.7,4.6,2.6,放
000001,平安银行,2024-02-21,9.37,34.1,6.0,3.4,2.9,6.8,3.1,放
000001,平安银行,2024-02-22,9.45,31.7,5.4,3.4,2.5,6.3,2.7,放
000001,平安银行,2024-02-23,9.41,26.5,4.7,6.0,1.7,5.3,1.9,放
000001,平安银行,2024-02-26,9.13,24.0,1.0,5.3,1.6,4.8,4.8,放
000001,平安银行,2024-02-27,9.11,21.3,0.7,3.5,1.1,4.3,4.3,放
000001,平安银行,2024-02-28,9.1,24.6,1.1,6.1,1.8,4.9,4.8,放
000001,平安银行,2024-02-29,9.18,22.5,1.3,4.5,1.0,4.5,3.8,放
000001,平安银行,2024-03-01,9.1,23.2,0.9,5.2,1.1,4.6,4.2,放
000001,平安银行,2024-03-04,8.96,23.3,0.9,5.2,1.3,4.7,4.2,放
000001,平安银行,2024-03-15,9.19,29.1,2.5,3.3,2.5,5.8,4.9,放
000001,平安银行,2024-03-26,9.19,25.9,2.8,3.4,4.7,5.2,3.7,放
000001,平安银行,2024-04-17,9.21,30.0,5.0,3.4,2.5,6.0,2.1,放
000001,平安银行,2024-04-18,9.37,31.3,5.2,3.4,5.8,6.3,2.8,放
000001,平安银行,2024-04-19,9.27,23.8,4.2,5.0,1.1,4.8,1.9,放
000001,平安银行,2024-04-22,9.11,23.6,1.1,6.4,2.0,4.7,5.0,放
000001,平安银行,2024-04-23,9.14,21.9,0.7,4.1,1.2,4.4,4.3,放
000001,平安银行,2024-04-24,9.13,20.9,0.6,3.5,1.0,4.2,4.1,放
000001,平安银行,2024-04-25,9.2,24.4,1.8,5.5,1.0,4.9,3.5,放
000001,平安银行,2024-04-26,9.19,20.6,1.8,5.6,1.6,4.1,4.3,放
000001,平安银行,2024-04-29,9.37,30.0,4.0,3.3,1.7,6.0,3.3,放
000001,平安银行,2024-05-06,9.44,21.9,3.6,5.9,1.2,4.4,2.9,放
000001,平安银行,2024-05-10,9.49,24.0,1.9,4.8,1.3,4.8,4.2,放
000001,平安银行,2024-05-13,9.51,20.9,3.1,6.2,0.9,4.2,2.9,放
000001,平安银行,2024-05-16,9.69,29.4,3.7,3.3,2.6,5.9,4.2,放
000001,平安银行,2024-05-17,9.9,29.6,5.1,3.3,2.2,5.9,2.1,放
000001,平安银行,2024-05-20,9.87,25.9,4.6,6.1,1.6,5.2,1.4,放
000001,平安银行,2024-05-21,10.02,24.6,3.9,6.1,1.3,4.9,2.5,放
000001,平安银行,2024-05-22,10.03,24.1,2.0,5.7,1.4,4.8,3.9,放
000001,平安银行,2024-05-23,9.89,23.7,1.1,5.5,1.4,4.7,4.5,放
000001,平安银行,2024-05-24,9.81,21.0,0.8,4.8,1.2,4.2,4.3,放
000001,平安银行,2024-05-27,9.98,23.7,1.0,5.4,1.0,4.7,4.3,放
000001,平安银行,2024-05-28,9.89,23.1,0.9,5.0,0.9,4.6,4.1,放
000001,平安银行,2024-07-01,9.62,25.0,3.9,3.6,2.0,5.0,3.1,放
000001,平安银行,2024-07-02,9.66,25.6,3.7,4.5,1.9,5.1,3.1,放
000001,平安银行,2024-07-12,9.58,23.9,3.5,4.8,1.9,4.8,3.2,放
000001,平安银行,2024-07-15,9.6,21.8,2.6,6.2,4.4,4.4,3.1,放
000001,平安银行,2024-07-16,9.57,21.7,2.5,6.5,1.3,4.3,3.3,放
000001,平安银行,2024-07-17,9.66,26.8,2.1,5.1,1.5,5.4,4.2,放
000001,平安银行,2024-07-18,9.67,25.4,1.8,6.5,1.2,5.1,4.0,放
000001,平安银行,2024-07-19,9.64,23.0,1.6,5.9,1.0,4.6,3.9,放
000001,平安银行,2024-08-16,9.41,22.9,3.6,3.3,6.8,4.6,3.9,放
000001,平安银行,2024-08-19,9.56,26.5,4.9,3.4,2.5,5.3,2.9,放
